,bin.99,bin.93,bin.69,bin.58,bin.38,bin.35,bin.28,bin.213,bin.206,bin.2,bin.117,bin.197,bin.187,bin.181,bin.16,bin.156,bin.149,bin.142,bin.139,bin.80,bin.71,bin.192,bin.183,bin.61,bin.182,bin.161,bin.108,bin.97,bin.81,bin.68,bin.217,bin.92,bin.90,bin.162,bin.7,bin.214,bin.29,bin.211,bin.204,bin.202,bin.56,bin.44,bin.180,bin.163,bin.42,bin.196,bin.27,bin.23,bin.17,bin.166,bin.146,bin.219,bin.82,bin.64,bin.208,bin.19,bin.76,bin.195,bin.165,bin.60,bin.184,bin.218,bin.55,bin.124,bin.51,bin.116
k141_515126,0.4090909090909091,0.015151515151515152,0.045454545454545456,0.09090909090909091,0.07575757575757576,0.25757575757575757,0.21212121212121213,0.12121212121212122,0.10606060606060606,0.18181818181818182,0.15151515151515152,0.16666666666666666,0.13636363636363635,0.19696969696969696,0.030303030303030304,0.2727272727272727,0.06060606060606061,0.24242424242424243,0.22727272727272727,0.7575757575757576,0.9848484848484849,0.8787878787878788,0.9242424242424242,0.4696969696969697,0.0,0.5909090909090909,0.8939393939393939,0.6060606060606061,0.7878787878787878,0.5606060606060606,0.42424242424242425,0.7424242424242424,0.7121212121212122,0.696969696969697,0.3181818181818182,0.45454545454545453,0.4393939393939394,0.8484848484848485,0.6212121212121212,0.5757575757575758,0.5151515151515151,0.7727272727272727,0.6818181818181818,0.7272727272727273,0.3787878787878788,0.6666666666666666,0.36363636363636365,0.30303030303030304,0.5,0.8181818181818182,0.2878787878787879,0.3484848484848485,0.5454545454545454,0.3333333333333333,0.3939393939393939,0.9393939393939394,0.803030303030303,0.6515151515151515,0.8333333333333334,0.8636363636363636,0.48484848484848486,0.5303030303030303,0.9545454545454546,0.6363636363636364,0.9090909090909091,0.9696969696969697
k141_606847,0.19696969696969696,0.696969696969697,0.42424242424242425,0.2878787878787879,0.5757575757575758,0.8333333333333334,0.7727272727272727,0.8787878787878788,0.5151515151515151,0.5303030303030303,0.5909090909090909,0.6060606060606061,0.5454545454545454,0.7121212121212122,0.7272727272727273,0.8484848484848485,0.3939393939393939,0.7575757575757576,0.8181818181818182,0.9393939393939394,0.9848484848484849,0.9545454545454546,0.9696969696969697,0.30303030303030304,0.6818181818181818,0.803030303030303,0.7424242424242424,0.6666666666666666,0.36363636363636365,0.3787878787878788,0.10606060606060606,0.18181818181818182,0.6363636363636364,0.3484848484848485,0.06060606060606061,0.030303030303030304,0.13636363636363635,0.9090909090909091,0.6515151515151515,0.16666666666666666,0.07575757575757576,0.7878787878787878,0.6212121212121212,0.4696969696969697,0.09090909090909091,0.12121212121212122,0.0,0.2727272727272727,0.015151515151515152,0.48484848484848486,0.3333333333333333,0.21212121212121213,0.22727272727272727,0.15151515151515152,0.25757575757575757,0.9242424242424242,0.45454545454545453,0.3181818181818182,0.5,0.8939393939393939,0.4393939393939394,0.045454545454545456,0.8636363636363636,0.4090909090909091,0.5606060606060606,0.24242424242424243
k141_346380,0.0,0.16666666666666666,0.21212121212121213,0.25757575757575757,0.22727272727272727,0.10606060606060606,0.12121212121212122,0.24242424242424243,0.15151515151515152,0.07575757575757576,0.06060606060606061,0.045454545454545456,0.015151515151515152,0.09090909090909091,0.030303030303030304,0.13636363636363635,0.18181818181818182,0.2878787878787879,0.2727272727272727,0.5151515151515151,0.7878787878787878,0.6363636363636364,0.6666666666666666,0.30303030303030304,0.6515151515151515,0.19696969696969696,0.9393939393939394,0.42424242424242425,0.9090909090909091,0.3484848484848485,0.5757575757575758,0.8181818181818182,0.803030303030303,0.7424242424242424,0.3939393939393939,0.3333333333333333,0.48484848484848486,0.8333333333333334,0.45454545454545453,0.6060606060606061,0.8939393939393939,0.7575757575757576,0.8787878787878788,0.696969696969697,0.3181818181818182,0.3787878787878788,0.5606060606060606,0.4090909090909091,0.8484848484848485,0.7727272727272727,0.4393939393939394,0.5303030303030303,0.6818181818181818,0.36363636363636365,0.4696969696969697,0.9848484848484849,0.7272727272727273,0.7121212121212122,0.6212121212121212,0.8636363636363636,0.5,0.5454545454545454,0.9545454545454546,0.5909090909090909,0.9696969696969697,0.9242424242424242
k141_600654,0.22727272727272727,0.030303030303030304,0.2878787878787879,0.12121212121212122,0.06060606060606061,0.15151515151515152,0.19696969696969696,0.045454545454545456,0.10606060606060606,0.09090909090909091,0.015151515151515152,0.0,0.21212121212121213,0.16666666666666666,0.13636363636363635,0.3333333333333333,0.24242424242424243,0.07575757575757576,0.18181818181818182,0.7878787878787878,0.9848484848484849,0.9242424242424242,0.9393939393939394,0.3181818181818182,0.3484848484848485,0.6060606060606061,0.7272727272727273,0.3939393939393939,0.7121212121212122,0.4393939393939394,0.696969696969697,0.36363636363636365,0.30303030303030304,0.2727272727272727,0.4090909090909091,0.5151515151515151,0.6515151515151515,0.9696969696969697,0.8636363636363636,0.8787878787878788,0.5,0.7424242424242424,0.9545454545454546,0.803030303030303,0.6212121212121212,0.5909090909090909,0.6363636363636364,0.3787878787878788,0.6818181818181818,0.7575757575757576,0.25757575757575757,0.5454545454545454,0.48484848484848486,0.45454545454545453,0.6666666666666666,0.8333333333333334,0.9090909090909091,0.8181818181818182,0.8484848484848485,0.7727272727272727,0.5303030303030303,0.42424242424242425,0.5606060606060606,0.5757575757575758,0.8939393939393939,0.4696969696969697
k141_235238,0.5151515151515151,0.6666666666666666,0.5606060606060606,0.30303030303030304,0.7575757575757576,0.6818181818181818,0.5303030303030303,0.5909090909090909,0.5757575757575758,0.48484848484848486,0.5,0.7878787878787878,0.2727272727272727,0.3939393939393939,0.3787878787878788,0.6060606060606061,0.7121212121212122,0.7727272727272727,0.7272727272727273,0.6212121212121212,0.9090909090909091,0.8484848484848485,0.8787878787878788,0.18181818181818182,0.803030303030303,0.5454545454545454,0.9545454545454546,0.8939393939393939,0.8636363636363636,0.10606060606060606,0.12121212121212122,0.8333333333333334,0.8181818181818182,0.7424242424242424,0.25757575757575757,0.2878787878787879,0.3484848484848485,0.3181818181818182,0.42424242424242425,0.22727272727272727,0.4090909090909091,0.3333333333333333,0.36363636363636365,0.696969696969697,0.19696969696969696,0.06060606060606061,0.07575757575757576,0.45454545454545453,0.6363636363636364,0.09090909090909091,0.4696969696969697,0.045454545454545456,0.16666666666666666,0.13636363636363635,0.21212121212121213,0.9393939393939394,0.030303030303030304,0.015151515151515152,0.0,0.9242424242424242,0.24242424242424243,0.15151515151515152,0.9848484848484849,0.4393939393939394,0.9696969696969697,0.6515151515151515
k141_307704,0.3787878787878788,0.42424242424242425,0.36363636363636365,0.25757575757575757,0.6363636363636364,0.7272727272727273,0.696969696969697,0.8333333333333334,0.5454545454545454,0.5606060606060606,0.48484848484848486,0.5,0.8181818181818182,0.803030303030303,0.7424242424242424,0.8636363636363636,0.4090909090909091,0.6212121212121212,0.8484848484848485,0.8787878787878788,0.9848484848484849,0.9545454545454546,0.9696969696969697,0.3181818181818182,0.45454545454545453,0.9242424242424242,0.7878787878787878,0.5303030303030303,0.2727272727272727,0.5909090909090909,0.12121212121212122,0.18181818181818182,0.13636363636363635,0.3939393939393939,0.09090909090909091,0.06060606060606061,0.15151515151515152,0.7575757575757576,0.5757575757575758,0.30303030303030304,0.030303030303030304,0.5151515151515151,0.6060606060606061,0.4393939393939394,0.07575757575757576,0.24242424242424243,0.0,0.10606060606060606,0.015151515151515152,0.4696969696969697,0.2878787878787879,0.21212121212121213,0.19696969696969696,0.16666666666666666,0.22727272727272727,0.9393939393939394,0.6818181818181818,0.3484848484848485,0.7121212121212122,0.9090909090909091,0.6666666666666666,0.045454545454545456,0.8939393939393939,0.7727272727272727,0.6515151515151515,0.3333333333333333
k141_592939,0.24242424242424243,0.22727272727272727,0.21212121212121213,0.3333333333333333,0.36363636363636365,0.18181818181818182,0.07575757575757576,0.15151515151515152,0.13636363636363635,0.3181818181818182,0.25757575757575757,0.2727272727272727,0.09090909090909091,0.06060606060606061,0.045454545454545456,0.10606060606060606,0.19696969696969696,0.2878787878787879,0.16666666666666666,0.30303030303030304,0.0,0.030303030303030304,0.015151515151515152,0.3484848484848485,0.6060606060606061,0.12121212121212122,0.9242424242424242,0.6212121212121212,0.8636363636363636,0.42424242424242425,0.696969696969697,0.6363636363636364,0.8484848484848485,0.7878787878787878,0.4393939393939394,0.45454545454545453,0.7424242424242424,0.7121212121212122,0.5303030303030303,0.6818181818181818,0.9090909090909091,0.4090909090909091,0.803030303030303,0.7272727272727273,0.5151515151515151,0.4696969696969697,0.8939393939393939,0.5606060606060606,0.8181818181818182,0.5909090909090909,0.7727272727272727,0.5454545454545454,0.8787878787878788,0.48484848484848486,0.7575757575757576,0.9545454545454546,0.6515151515151515,0.5757575757575758,0.8333333333333334,0.3787878787878788,0.3939393939393939,0.6666666666666666,0.9848484848484849,0.5,0.9696969696969697,0.9393939393939394
k141_654841,0.5151515151515151,0.5606060606060606,0.6212121212121212,0.6363636363636364,0.7575757575757576,0.4090909090909091,0.42424242424242425,0.7424242424242424,0.7272727272727273,0.45454545454545453,0.3939393939393939,0.6060606060606061,0.3333333333333333,0.36363636363636365,0.2727272727272727,0.3181818181818182,0.8333333333333334,0.696969696969697,0.8939393939393939,0.21212121212121213,0.8636363636363636,0.7878787878787878,0.7727272727272727,0.25757575757575757,0.7121212121212122,0.5454545454545454,0.9848484848484849,0.48484848484848486,0.8484848484848485,0.18181818181818182,0.3787878787878788,0.803030303030303,0.6515151515151515,0.5757575757575758,0.13636363636363635,0.06060606060606061,0.22727272727272727,0.045454545454545456,0.030303030303030304,0.07575757575757576,0.8787878787878788,0.09090909090909091,0.12121212121212122,0.015151515151515152,0.16666666666666666,0.19696969696969696,0.4393939393939394,0.2878787878787879,0.9090909090909091,0.15151515151515152,0.5909090909090909,0.5,0.6818181818181818,0.3484848484848485,0.30303030303030304,0.9393939393939394,0.4696969696969697,0.24242424242424243,0.8181818181818182,0.5303030303030303,0.10606060606060606,0.6666666666666666,0.9545454545454546,0.0,0.9696969696969697,0.9242424242424242
k141_499620,0.19696969696969696,0.5151515151515151,0.3787878787878788,0.24242424242424243,0.4393939393939394,0.7878787878787878,0.7727272727272727,0.6363636363636364,0.3333333333333333,0.6818181818181818,0.5757575757575758,0.3484848484848485,0.7272727272727273,0.696969696969697,0.6515151515151515,0.8787878787878788,0.2878787878787879,0.45454545454545453,0.5303030303030303,0.9696969696969697,0.9545454545454546,0.8939393939393939,0.8636363636363636,0.4090909090909091,0.4696969696969697,0.8181818181818182,0.07575757575757576,0.48484848484848486,0.13636363636363635,0.5909090909090909,0.42424242424242425,0.06060606060606061,0.12121212121212122,0.18181818181818182,0.36363636363636365,0.3939393939393939,0.5606060606060606,0.9848484848484849,0.9393939393939394,0.6666666666666666,0.0,0.7121212121212122,0.9242424242424242,0.803030303030303,0.3181818181818182,0.2727272727272727,0.16666666666666666,0.21212121212121213,0.030303030303030304,0.7424242424242424,0.25757575757575757,0.30303030303030304,0.22727272727272727,0.6060606060606061,0.5454545454545454,0.15151515151515152,0.8484848484848485,0.6212121212121212,0.5,0.7575757575757576,0.9090909090909091,0.09090909090909091,0.10606060606060606,0.8333333333333334,0.045454545454545456,0.015151515151515152
k141_65862,0.16666666666666666,0.22727272727272727,0.30303030303030304,0.06060606060606061,0.045454545454545456,0.5151515151515151,0.5454545454545454,0.3939393939393939,0.2878787878787879,0.4090909090909091,0.3181818181818182,0.15151515151515152,0.4393939393939394,0.4696969696969697,0.42424242424242425,0.6060606060606061,0.09090909090909091,0.3333333333333333,0.36363636363636365,0.7878787878787878,0.8181818181818182,0.7727272727272727,0.7272727272727273,0.3787878787878788,0.21212121212121213,0.6212121212121212,0.0,0.45454545454545453,0.18181818181818182,0.6515151515151515,0.5606060606060606,0.030303030303030304,0.12121212121212122,0.25757575757575757,0.5757575757575758,0.6666666666666666,0.7575757575757576,0.9848484848484849,0.9696969696969697,0.8939393939393939,0.10606060606060606,0.803030303030303,0.9545454545454546,0.9393939393939394,0.6818181818181818,0.5303030303030303,0.48484848484848486,0.5,0.07575757575757576,0.8636363636363636,0.3484848484848485,0.5909090909090909,0.6363636363636364,0.7424242424242424,0.8333333333333334,0.24242424242424243,0.9090909090909091,0.8787878787878788,0.696969696969697,0.7121212121212122,0.8484848484848485,0.2727272727272727,0.19696969696969696,0.9242424242424242,0.015151515151515152,0.13636363636363635
k141_92791,0.30303030303030304,0.15151515151515152,0.24242424242424243,0.36363636363636365,0.18181818181818182,0.16666666666666666,0.21212121212121213,0.06060606060606061,0.12121212121212122,0.19696969696969696,0.09090909090909091,0.22727272727272727,0.015151515151515152,0.07575757575757576,0.045454545454545456,0.10606060606060606,0.2727272727272727,0.030303030303030304,0.0,0.3181818181818182,0.3333333333333333,0.2878787878787879,0.25757575757575757,0.3484848484848485,0.4090909090909091,0.13636363636363635,0.9545454545454546,0.5151515151515151,0.9242424242424242,0.42424242424242425,0.7272727272727273,0.6515151515151515,0.7878787878787878,0.6666666666666666,0.4696969696969697,0.5303030303030303,0.7575757575757576,0.8787878787878788,0.7121212121212122,0.5909090909090909,0.7727272727272727,0.5454545454545454,0.803030303030303,0.8484848484848485,0.3787878787878788,0.5606060606060606,0.48484848484848486,0.45454545454545453,0.9090909090909091,0.8636363636363636,0.6212121212121212,0.5757575757575758,0.8333333333333334,0.4393939393939394,0.6060606060606061,0.9393939393939394,0.6818181818181818,0.696969696969697,0.8181818181818182,0.7424242424242424,0.3939393939393939,0.6363636363636364,0.9696969696969697,0.5,0.9848484848484849,0.8939393939393939
k141_179903,0.24242424242424243,0.21212121212121213,0.07575757575757576,0.045454545454545456,0.22727272727272727,0.25757575757575757,0.15151515151515152,0.13636363636363635,0.06060606060606061,0.18181818181818182,0.10606060606060606,0.09090909090909091,0.030303030303030304,0.0,0.015151515151515152,0.16666666666666666,0.12121212121212122,0.2727272727272727,0.2878787878787879,0.6515151515151515,0.8181818181818182,0.7121212121212122,0.5151515151515151,0.19696969696969696,0.4393939393939394,0.3484848484848485,0.8939393939393939,0.6818181818181818,0.8636363636363636,0.4696969696969697,0.5303030303030303,0.5606060606060606,0.5909090909090909,0.48484848484848486,0.3787878787878788,0.4090909090909091,0.6363636363636364,0.9242424242424242,0.8787878787878788,0.7575757575757576,0.8333333333333334,0.7272727272727273,0.9393939393939394,0.9090909090909091,0.5757575757575758,0.3939393939393939,0.45454545454545453,0.3333333333333333,0.5,0.696969696969697,0.30303030303030304,0.36363636363636365,0.6212121212121212,0.42424242424242425,0.6060606060606061,0.9848484848484849,0.7424242424242424,0.6666666666666666,0.8484848484848485,0.7878787878787878,0.5454545454545454,0.3181818181818182,0.9696969696969697,0.803030303030303,0.9545454545454546,0.7727272727272727
k141_306704,0.48484848484848486,0.42424242424242425,0.4090909090909091,0.16666666666666666,0.6212121212121212,0.6666666666666666,0.5909090909090909,0.7424242424242424,0.5454545454545454,0.803030303030303,0.7878787878787878,0.4393939393939394,0.4696969696969697,0.5,0.6363636363636364,0.8181818181818182,0.3787878787878788,0.7727272727272727,0.8636363636363636,0.8939393939393939,0.9848484848484849,0.9545454545454546,0.9696969696969697,0.13636363636363635,0.3939393939393939,0.8787878787878788,0.9242424242424242,0.7272727272727273,0.5757575757575758,0.2878787878787879,0.18181818181818182,0.30303030303030304,0.696969696969697,0.3181818181818182,0.25757575757575757,0.12121212121212122,0.36363636363636365,0.6818181818181818,0.6515151515151515,0.45454545454545453,0.06060606060606061,0.5303030303030303,0.6060606060606061,0.7121212121212122,0.22727272727272727,0.19696969696969696,0.09090909090909091,0.24242424242424243,0.045454545454545456,0.030303030303030304,0.3333333333333333,0.015151515151515152,0.2727272727272727,0.15151515151515152,0.21212121212121213,0.9393939393939394,0.5151515151515151,0.10606060606060606,0.07575757575757576,0.8484848484848485,0.5606060606060606,0.0,0.9090909090909091,0.7575757575757576,0.8333333333333334,0.3484848484848485
k141_187880,0.3484848484848485,0.21212121212121213,0.3181818181818182,0.18181818181818182,0.3333333333333333,0.16666666666666666,0.07575757575757576,0.2727272727272727,0.06060606060606061,0.2878787878787879,0.22727272727272727,0.25757575757575757,0.10606060606060606,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.12121212121212122,0.19696969696969696,0.15151515151515152,0.5151515151515151,0.015151515151515152,0.030303030303030304,0.0,0.30303030303030304,0.36363636363636365,0.24242424242424243,0.8636363636363636,0.5454545454545454,0.8939393939393939,0.3939393939393939,0.45454545454545453,0.4393939393939394,0.6060606060606061,0.4696969696969697,0.48484848484848486,0.6818181818181818,0.7727272727272727,0.9545454545454546,0.7878787878787878,0.7424242424242424,0.5757575757575758,0.696969696969697,0.9848484848484849,0.9242424242424242,0.6212121212121212,0.6363636363636364,0.9393939393939394,0.3787878787878788,0.6666666666666666,0.8181818181818182,0.6515151515151515,0.5,0.7121212121212122,0.4090909090909091,0.7575757575757576,0.8333333333333334,0.803030303030303,0.7272727272727273,0.9696969696969697,0.5303030303030303,0.42424242424242425,0.5909090909090909,0.8787878787878788,0.5606060606060606,0.9090909090909091,0.8484848484848485
k141_653841,0.25757575757575757,0.22727272727272727,0.18181818181818182,0.10606060606060606,0.06060606060606061,0.2727272727272727,0.13636363636363635,0.0,0.015151515151515152,0.24242424242424243,0.15151515151515152,0.19696969696969696,0.030303030303030304,0.16666666666666666,0.07575757575757576,0.21212121212121213,0.045454545454545456,0.12121212121212122,0.09090909090909091,0.5454545454545454,0.7424242424242424,0.4393939393939394,0.45454545454545453,0.2878787878787879,0.3333333333333333,0.30303030303030304,0.8939393939393939,0.5,0.9545454545454546,0.42424242424242425,0.5757575757575758,0.3939393939393939,0.6666666666666666,0.6060606060606061,0.4696969696969697,0.7272727272727273,0.7121212121212122,0.9242424242424242,0.8484848484848485,0.7727272727272727,0.6818181818181818,0.6515151515151515,0.9393939393939394,0.9090909090909091,0.5606060606060606,0.5151515151515151,0.696969696969697,0.36363636363636365,0.803030303030303,0.7878787878787878,0.3484848484848485,0.4090909090909091,0.5909090909090909,0.3787878787878788,0.5303030303030303,0.9696969696969697,0.8181818181818182,0.6363636363636364,0.6212121212121212,0.8636363636363636,0.48484848484848486,0.3181818181818182,0.8787878787878788,0.7575757575757576,0.9848484848484849,0.8333333333333334
k141_546823,0.15151515151515152,0.10606060606060606,0.18181818181818182,0.045454545454545456,0.13636363636363635,0.16666666666666666,0.0,0.24242424242424243,0.12121212121212122,0.22727272727272727,0.06060606060606061,0.07575757575757576,0.09090909090909091,0.015151515151515152,0.030303030303030304,0.25757575757575757,0.19696969696969696,0.2727272727272727,0.30303030303030304,0.4393939393939394,0.9393939393939394,0.6212121212121212,0.5454545454545454,0.21212121212121213,0.3939393939393939,0.3333333333333333,0.7424242424242424,0.4696969696969697,0.7575757575757576,0.4090909090909091,0.5151515151515151,0.36363636363636365,0.42424242424242425,0.3181818181818182,0.5,0.5757575757575758,0.7727272727272727,0.9848484848484849,0.9242424242424242,0.8181818181818182,0.5606060606060606,0.6363636363636364,0.9696969696969697,0.8939393939393939,0.7272727272727273,0.3787878787878788,0.7121212121212122,0.48484848484848486,0.6666666666666666,0.6060606060606061,0.3484848484848485,0.45454545454545453,0.696969696969697,0.5909090909090909,0.803030303030303,0.8636363636363636,0.8787878787878788,0.8484848484848485,0.8333333333333334,0.7878787878787878,0.6818181818181818,0.2878787878787879,0.9545454545454546,0.5303030303030303,0.9090909090909091,0.6515151515151515
k141_302077,0.2878787878787879,0.19696969696969696,0.25757575757575757,0.0,0.2727272727272727,0.696969696969697,0.5757575757575758,0.22727272727272727,0.06060606060606061,0.4696969696969697,0.3939393939393939,0.12121212121212122,0.6515151515151515,0.5,0.4090909090909091,0.7575757575757576,0.015151515151515152,0.16666666666666666,0.42424242424242425,0.9242424242424242,0.9848484848484849,0.9393939393939394,0.9545454545454546,0.10606060606060606,0.5454545454545454,0.8181818181818182,0.045454545454545456,0.6666666666666666,0.5151515151515151,0.6363636363636364,0.5303030303030303,0.07575757575757576,0.18181818181818182,0.21212121212121213,0.4393939393939394,0.6818181818181818,0.6060606060606061,0.9696969696969697,0.8939393939393939,0.7878787878787878,0.09090909090909091,0.7424242424242424,0.9090909090909091,0.8636363636363636,0.6212121212121212,0.30303030303030304,0.48484848484848486,0.3484848484848485,0.13636363636363635,0.7727272727272727,0.15151515151515152,0.36363636363636365,0.3787878787878788,0.45454545454545453,0.7121212121212122,0.5606060606060606,0.8787878787878788,0.7272727272727273,0.5909090909090909,0.8484848484848485,0.803030303030303,0.030303030303030304,0.3333333333333333,0.8333333333333334,0.3181818181818182,0.24242424242424243
k141_380889,0.19696969696969696,0.3484848484848485,0.30303030303030304,0.15151515151515152,0.36363636363636365,0.6515151515151515,0.6363636363636364,0.5303030303030303,0.25757575757575757,0.45454545454545453,0.42424242424242425,0.22727272727272727,0.5606060606060606,0.5909090909090909,0.6060606060606061,0.803030303030303,0.18181818181818182,0.3787878787878788,0.4696969696969697,0.8787878787878788,0.9696969696969697,0.8939393939393939,0.9393939393939394,0.24242424242424243,0.3939393939393939,0.7575757575757576,0.030303030303030304,0.48484848484848486,0.13636363636363635,0.7121212121212122,0.5151515151515151,0.0,0.06060606060606061,0.015151515151515152,0.5,0.6666666666666666,0.5757575757575758,0.9848484848484849,0.9545454545454546,0.8181818181818182,0.07575757575757576,0.8484848484848485,0.9242424242424242,0.8636363636363636,0.5454545454545454,0.21212121212121213,0.4090909090909091,0.3181818181818182,0.10606060606060606,0.7727272727272727,0.2878787878787879,0.4393939393939394,0.3333333333333333,0.696969696969697,0.6212121212121212,0.2727272727272727,0.9090909090909091,0.7878787878787878,0.7424242424242424,0.6818181818181818,0.8333333333333334,0.12121212121212122,0.16666666666666666,0.7272727272727273,0.045454545454545456,0.09090909090909091
k141_512666,0.24242424242424243,0.19696969696969696,0.25757575757575757,0.0,0.10606060606060606,0.5606060606060606,0.48484848484848486,0.16666666666666666,0.030303030303030304,0.4090909090909091,0.2878787878787879,0.045454545454545456,0.3333333333333333,0.4393939393939394,0.42424242424242425,0.7121212121212122,0.015151515151515152,0.12121212121212122,0.30303030303030304,0.9393939393939394,0.9848484848484849,0.9090909090909091,0.8939393939393939,0.07575757575757576,0.5151515151515151,0.7424242424242424,0.18181818181818182,0.5454545454545454,0.5303030303030303,0.6212121212121212,0.5909090909090909,0.13636363636363635,0.22727272727272727,0.3181818181818182,0.5757575757575758,0.6818181818181818,0.7272727272727273,0.9696969696969697,0.9242424242424242,0.8333333333333334,0.15151515151515152,0.7575757575757576,0.9545454545454546,0.8636363636363636,0.6666666666666666,0.4696969696969697,0.5,0.45454545454545453,0.2727272727272727,0.7878787878787878,0.21212121212121213,0.3939393939393939,0.3787878787878788,0.6060606060606061,0.6515151515151515,0.6363636363636364,0.8787878787878788,0.7727272727272727,0.696969696969697,0.8181818181818182,0.8484848484848485,0.06060606060606061,0.3484848484848485,0.803030303030303,0.36363636363636365,0.09090909090909091
k141_491733,0.36363636363636365,0.6363636363636364,0.42424242424242425,0.030303030303030304,0.4696969696969697,0.7575757575757576,0.7272727272727273,0.5151515151515151,0.2727272727272727,0.5909090909090909,0.5454545454545454,0.4393939393939394,0.7121212121212122,0.803030303030303,0.7424242424242424,0.8939393939393939,0.2878787878787879,0.3333333333333333,0.6515151515151515,0.9545454545454546,0.9848484848484849,0.9393939393939394,0.9696969696969697,0.16666666666666666,0.5757575757575758,0.9090909090909091,0.22727272727272727,0.3787878787878788,0.21212121212121213,0.6060606060606061,0.48484848484848486,0.015151515151515152,0.07575757575757576,0.15151515151515152,0.30303030303030304,0.3181818181818182,0.3484848484848485,0.8333333333333334,0.7727272727272727,0.5606060606060606,0.06060606060606061,0.5303030303030303,0.8636363636363636,0.7878787878787878,0.4090909090909091,0.09090909090909091,0.10606060606060606,0.19696969696969696,0.045454545454545456,0.696969696969697,0.13636363636363635,0.24242424242424243,0.18181818181818182,0.3939393939393939,0.45454545454545453,0.6212121212121212,0.9242424242424242,0.6666666666666666,0.6818181818181818,0.8787878787878788,0.8484848484848485,0.0,0.5,0.8181818181818182,0.25757575757575757,0.12121212121212122
k141_451442,0.3181818181818182,0.18181818181818182,0.2878787878787879,0.30303030303030304,0.19696969696969696,0.07575757575757576,0.15151515151515152,0.06060606060606061,0.2727272727272727,0.24242424242424243,0.10606060606060606,0.22727272727272727,0.0,0.045454545454545456,0.030303030303030304,0.12121212121212122,0.45454545454545453,0.3333333333333333,0.09090909090909091,0.4090909090909091,0.21212121212121213,0.16666666666666666,0.13636363636363635,0.42424242424242425,0.5757575757575758,0.015151515151515152,0.9393939393939394,0.5303030303030303,0.8484848484848485,0.25757575757575757,0.5909090909090909,0.8636363636363636,0.8939393939393939,0.7575757575757576,0.3787878787878788,0.4393939393939394,0.7121212121212122,0.7272727272727273,0.6818181818181818,0.6666666666666666,0.8787878787878788,0.48484848484848486,0.6515151515151515,0.6212121212121212,0.5,0.6363636363636364,0.7878787878787878,0.3939393939393939,0.9090909090909091,0.7727272727272727,0.6060606060606061,0.5454545454545454,0.803030303030303,0.36363636363636365,0.8181818181818182,0.9545454545454546,0.5606060606060606,0.4696969696969697,0.8333333333333334,0.696969696969697,0.3484848484848485,0.7424242424242424,0.9696969696969697,0.5151515151515151,0.9848484848484849,0.9242424242424242
k141_28136,0.2727272727272727,0.2878787878787879,0.36363636363636365,0.06060606060606061,0.3333333333333333,0.6818181818181818,0.4393939393939394,0.45454545454545453,0.22727272727272727,0.4090909090909091,0.21212121212121213,0.15151515151515152,0.6212121212121212,0.7575757575757576,0.5757575757575758,0.803030303030303,0.25757575757575757,0.24242424242424243,0.6363636363636364,0.9393939393939394,0.9848484848484849,0.9696969696969697,0.9545454545454546,0.19696969696969696,0.5454545454545454,0.8939393939393939,0.6666666666666666,0.07575757575757576,0.3939393939393939,0.6060606060606061,0.42424242424242425,0.0,0.015151515151515152,0.045454545454545456,0.3181818181818182,0.30303030303030304,0.5,0.8787878787878788,0.8181818181818182,0.5606060606060606,0.030303030303030304,0.48484848484848486,0.8636363636363636,0.7727272727272727,0.3787878787878788,0.10606060606060606,0.18181818181818182,0.16666666666666666,0.13636363636363635,0.696969696969697,0.09090909090909091,0.4696969696969697,0.3484848484848485,0.5303030303030303,0.5909090909090909,0.9242424242424242,0.9090909090909091,0.7272727272727273,0.8333333333333334,0.8484848484848485,0.7878787878787878,0.12121212121212122,0.6515151515151515,0.7424242424242424,0.7121212121212122,0.5151515151515151
k141_410106,0.19696969696969696,0.5757575757575758,0.48484848484848486,0.24242424242424243,0.5454545454545454,0.8484848484848485,0.7424242424242424,0.5606060606060606,0.3939393939393939,0.7272727272727273,0.5909090909090909,0.4090909090909091,0.6060606060606061,0.696969696969697,0.5151515151515151,0.8787878787878788,0.30303030303030304,0.4393939393939394,0.7121212121212122,0.9696969696969697,0.9848484848484849,0.9545454545454546,0.9393939393939394,0.36363636363636365,0.6515151515151515,0.9090909090909091,0.8333333333333334,0.6363636363636364,0.45454545454545453,0.5,0.3333333333333333,0.18181818181818182,0.16666666666666666,0.3787878787878788,0.21212121212121213,0.15151515151515152,0.2878787878787879,0.8636363636363636,0.6666666666666666,0.3484848484848485,0.015151515151515152,0.5303030303030303,0.7575757575757576,0.6212121212121212,0.07575757575757576,0.12121212121212122,0.030303030303030304,0.2727272727272727,0.13636363636363635,0.42424242424242425,0.09090909090909091,0.22727272727272727,0.0,0.045454545454545456,0.06060606060606061,0.8939393939393939,0.7878787878787878,0.3181818181818182,0.4696969696969697,0.9242424242424242,0.8181818181818182,0.10606060606060606,0.6818181818181818,0.7727272727272727,0.803030303030303,0.25757575757575757
